Country,States,Population,Population Growth %
Central African Republic,Kémo,118434.197274005,0.01
Central African Republic,Lobaye,246904.597635705,0.01
Central African Republic,Mambéré-Kadéï,364838.734965133,0.01
Central African Republic,Mbomou,164028.662900797,0.01
Central African Republic,Nana-Grébizi,117830.124860954,0.01
Central African Republic,Nana-Mambéré,233694.014019826,0.01
Central African Republic,Ombella-M'Poko,356767.767459634,0.01
Central African Republic,Ouaka,276743.174528713,0.01
Central African Republic,Ouham,369264.265474653,0.01
Central African Republic,Ouham-Pendé,430557.613001547,0.01
Central African Republic,Sangha-Mbaéré,101086.117676683,0.01
Central African Republic,Vakaga,46505.5748458139,0.01
Chad,Batha,488516.56081799,0.01
Chad,Chari-Baguirmi,578494.346885804,0.01
Chad,Hadjer-Lamis,566925.960127922,0.01
Chad,Wadi Fira,508443.949609449,0.01
Chad,Bahr el Gazel,257297.843523828,0.01
Chad,Borkou,93595.2197068956,0.01
Chad,Ennedi-Est,107314.864346355,0.01
Chad,Ennedi-Ouest,60624.2673210473,0.01
Chad,Guéra,538423.543406828,0.01
Chad,Kanem,333426.96948648,0.01
Chad,Lac,433842.006717539,0.01
Chad,Logone Occidental,689126.608904494,0.01
Chad,Logone Oriental,779432.434295952,0.01
Chad,Mandoul,628140.298183572,0.01
Chad,Mayo-Kebbi Est,774874.887961062,0.01
Chad,Mayo-Kebbi Ouest,564537.673832615,0.01
Chad,Moyen-Chari,588078.495783598,0.01
Chad,Ouaddaï,721252.459984005,0.01
Chad,Salamat,302337.242612137,0.01
Chad,Sila,387507.452372771,0.01
Chad,Tandjilé,661985.355352543,0.01
Chad,Tibesti,25486.0551353951,0.01
Chad,Ville de N'Djamena (capital),951532.064702249,0.01
Chile,Arica,186510.357889164,0.01
Chile,Parinacota,3156.37837018039,0.01
Chile,Iquique,216444.94629153,0.01
Chile,Tamarugal,22533.7012226028,0.01
Chile,Antofagasta,318817.218145671,0.01
Chile,El Loa,143706.226753121,0.01
Chile,Tocopilla,31519.7784266811,0.01
Chile,Copiapó,155731.668300348,0.01
Chile,Huasco,66498.9715499572,0.01
Chile,Chañaral,32135.8522784019,0.01
Chile,Elqui,365414.804021287,0.01
Chile,Limarí,156176.721651023,0.01
Chile,Choapa,81690.7926662565,0.01
Chile,Isla de Pascua,3791.45449979527,0.01
Chile,Los Andes,95485.4462974029,0.01
Chile,Marga Marga,263451.581201812,0.01
Chile,Petorca,71251.5412632326,0.01
Chile,Quillota,190044.781577445,0.01
Chile,San Antonio,136610.37613955,0.01
Chile,San Felipe de Aconcagua,131926.814698626,0.01
Chile,Valparaíso,651266.070380556,0.01
Chile,Cachapoal,542966.08794338,0.01
Chile,Colchagua,196589.566132091,0.01
Chile,Cardenal Caro,41164.9346377139,0.01
Chile,Talca,353008.316796291,0.01
Chile,Linares,254020.450647059,0.01
Chile,Curicó,244082.259308503,0.01
Chile,Cauquenes,57094.8442322113,0.01
Chile,Diguillín,319847.341631502,0.01
Chile,Punilla,98607.820591352,0.01
Chile,Itata,53838.4538731151,0.01
Chile,Concepción,912998.445492908,0.01
Chile,Biobío,353357.358637606,0.01
Chile,Arauco,157273.853169429,0.01
Chile,Cautin,668000.076365936,0.01
Chile,Malleco,201639.171452446,0.01
Chile,Valdivia,259274.080424803,0.01
Chile,Ranco,97164.647591298,0.01
Chile,Llanquihue,321531.543524843,0.01
