Country,States,Population,Birth Rate,Births,Death Rate,Deaths,Inbound Migration,Outbound Migration,Population Growth %
Brazil, Goiás,7114189.80300377,,,,,,,0.01
Brazil, Maranhão,7115247.89964926,,,,,,,0.01
Brazil, Mato Grosso,3526542.11084044,,,,,,,0.01
Brazil, Mato Grosso do Sul,2809650.63068738,,,,,,,0.01
Brazil, Minas Gerais,21294611.0285406,,,,,,,0.01
Brazil, Pará,8691538.87649552,,,,,,,0.01
Brazil, Paraíba,4039645.97723603,,,,,,,0.01
Brazil, Paraná,11517892.0327749,,,,,,,0.01
Brazil, Pernambuco,9617499.45281138,,,,,,,0.01
Brazil, Piauí,3281779.75449083,,,,,,,0.01
Brazil, Rio de Janeiro,17367775.3552852,,,,,,,0.01
Brazil, Rio Grande do Norte,3534487.8365951,,,,,,,0.01
Brazil, Rio Grande do Sul,11424016.4582734,,,,,,,0.01
Brazil, Rondônia,1796624.10185422,,,,,,,0.01
Brazil, Roraima,631238.656709559,,,,,,,0.01
Brazil, Santa Catarina,7253164.49681374,,,,,,,0.01
Brazil, São Paulo,46293561.4077443,,,,,,,0.01
Brazil, Sergipe,2319033.81823688,,,,,,,0.01
Brazil, Tocantins,1590393.26493519,,,,,,,0.01
Brunei,Brunei-Muara,292731.737825079,,,,,,,0.01
Brunei,Belait,69998.3935834815,,,,,,,0.01
Brunei,Tutong,49442.51603012,,,,,,,0.01
Brunei,Temburong,10543.9630750749,,,,,,,0.01
Bulgaria,Blagoevgrad,323581.555616679,,,,,,,0.01
Bulgaria,Burgas,415854.98377961,,,,,,,0.01
Bulgaria,Dobrich,189694.326490656,,,,,,,0.01
Bulgaria,Gabrovo,122713.208502119,,,,,,,0.01
Bulgaria,Haskovo,246260.493187925,,,,,,,0.01
Bulgaria,Kardzhali,152821.958605335,,,,,,,0.01
Bulgaria,Kyustendil,136698.485903413,,,,,,,0.01
Bulgaria,Lovech,141434.918524446,,,,,,,0.01
Bulgaria,Montana,148111.528359333,,,,,,,0.01
Bulgaria,Pazardzhik,275573.170578653,,,,,,,0.01
Bulgaria,Pernik,133542.197611187,,,,,,,0.01
Bulgaria,Pleven,269776.641129433,,,,,,,0.01
Bulgaria,Plovdiv,683089.39270409,,,,,,,0.01
Bulgaria,Razgrad,125201.435774317,,,,,,,0.01
Bulgaria,Ruse,235273.489645976,,,,,,,0.01
Bulgaria,Shumen,180544.490753782,,,,,,,0.01
Bulgaria,Silistra,119484.913632884,,,,,,,0.01
Bulgaria,Sliven,197491.03863457,,,,,,,0.01
Bulgaria,Smolyan,121763.12172214,,,,,,,0.01
Bulgaria,Sofia City,1291708.9834107,,,,,,,0.01
Bulgaria,Sofia (province),247511.607463456,,,,,,,0.01
Bulgaria,Stara Zagora,333295.442873457,,,,,,,0.01
Bulgaria,Targovishte,120829.036403717,,,,,,,0.01
Bulgaria,Varna,475117.396749327,,,,,,,0.01
Bulgaria,Veliko Tarnovo,258517.612741006,,,,,,,0.01
Bulgaria,Vidin,101027.227726255,,,,,,,0.01
Bulgaria,Vratsa,186865.068069012,,,,,,,0.01
Bulgaria,Yambol,131459.007334665,,,,,,,0.01
Burkina Faso,Boucle du Mouhoun,1434978.06946618,,,,,,,0.01
Burkina Faso,Cascades,525003.953337669,,,,,,,0.01
Burkina Faso,Centre,2136776.17100508,,,,,,,0.01
Burkina Faso,Centre-Est,1132126.4072973,,,,,,,0.01
Burkina Faso,Centre-Nord,1203182.89752628,,,,,,,0.01
Burkina Faso,Centre-Ouest,1348907.2078395,,,,,,,0.01
Burkina Faso,Centre-Sud,722697.010424403,,,,,,,0.01
Burkina Faso,Est,1209509.47538959,,,,,,,0.01
Burkina Faso,Hauts-Bassins,1410412.82570131,,,,,,,0.01
Burkina Faso,Nord,1182878.0429011,,,,,,,0.01
Burkina Faso,Plateau-Central,696435.61173443,,,,,,,0.01
Burkina Faso,Sahel,968530.464607013,,,,,,,0.01
Burkina Faso,Sud-Ouest,620823.705418292,,,,,,,0.01
Burundi,Cankuzo,228893.906941252,,,,,,,0.01
Burundi,Gitega,1002314.55041172,,,,,,,0.01
Burundi,Rutana,333540.465253556,,,,,,,0.01
Burundi,Ruyigi,400566.587352724,,,,,,,0.01
Burundi,Karuzi,436482.867909982,,,,,,,0.01
Burundi,Kayanza,585465.475832853,,,,,,,0.01
Burundi,Kirundo,628313.389518571,,,,,,,0.01
Burundi,Muyinga,632466.7688841,,,,,,,0.01
Burundi,Ngozi,660777.354744788,,,,,,,0.01
Burundi,Bururi,313130.601036907,,,,,,,0.01
Burundi,Makamba,430938.361480291,,,,,,,0.01
Burundi,Rumonge,352058.156641026,,,,,,,0.01
Burundi,Bubanza,338053.877504131,,,,,,,0.01
Burundi,Bujumbura Mairie,497211.414794907,,,,,,,0.01
Burundi,Bujumbura Rural,464860.459890941,,,,,,,0.01
Burundi,Cibitoke,460477.05951552,,,,,,,0.01
Burundi,Muramvya,292615.727228787,,,,,,,0.01
Burundi,Mwaro,273167.950888285,,,,,,,0.01
Cabo Verde,Barlavento,525047.957356952,,,,,,,0.01
Cabo Verde,Sotavento ,525047.957356952,,,,,,,0.01
Cambodia,Banteay Meanchey,859623.517155013,,,,,,,0.01
Cambodia,Battambang,987490.196370009,,,,,,,0.01
Cambodia,Kampong Cham,895844.825573211,,,,,,,0.01
Cambodia,Kampong Chhnang,525980.04249268,,,,,,,0.01
